CNN,SURVEY_SOURCE,PRIMARY_ST,CROSS_STREET_1,CROSS_ST_2,MID_CORRIDOR,TYPE,DIRECTION,DAY,DATE,DAY_OF_WEEK,DAY_OF_MONTH,MONTH,YEAR,ROADWAY_CLASS,DATA_SOURCE,VOLUME_ADT,VOLUME_AM_PEAK,VOLUME_PM_PEAK,85_PERC_SPEED,AVERAGE_SPEED,,,,,,,,,
3564000,SFDPH,CALIFORNIA ST,BAKER ST,LYON ST,,,EB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
3568000,SFDPH,CALIFORNIA ST,LAUREL ST,LOCUST ST,,,EB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,30,26,,,,,,,,,
3568000,SFDPH,CALIFORNIA ST,LAUREL ST,LOCUST ST,,,WB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
7989101,SFDPH,LAGUNA HONDA BLVD,CLARENDON AVE,PLAZA ST,,,NB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,39,22,,,,,,,,,
7989201,SFDPH,LAGUNA HONDA BLVD,CLARENDON AVE,PLAZA ST,,,SB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,40,21,,,,,,,,,
3578000,SFDPH,CALIFORNIA ST,02ND AVE,03RD AVE,,,EB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3578000,SFDPH,CALIFORNIA ST,02ND AVE,03RD AVE,,,WB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
3597000,SFDPH,CALIFORNIA ST,20TH AVE,21ST AVE,,,EB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
3597000,SFDPH,CALIFORNIA ST,20TH AVE,21ST AVE,,,WB,5,11/15/12,THURSDAY,15,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,26,,,,,,,,,
12276201,SFDPH,SUNSET BLVD,JUDAH ST,KIRKHAM ST,,,NB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,39,23,,,,,,,,,
12277201,SFDPH,SUNSET BLVD,KIRKHAM ST,LAWTON ST,,,NB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,39,23,,,,,,,,,
12286101,SFDPH,SUNSET BLVD,TARAVAL ST,ULLOA ST,,,NB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,38,21,,,,,,,,,
12286201,SFDPH,SUNSET BLVD,TARAVAL ST,ULLOA ST,,,SB,4,2/13/13,WEDNESDAY,13,2,2013,,SFMTA DEPT PARKING AND TRAFFIC,,,,38,20,,,,,,,,,
