,start_loc,end_loc,lat_x,lon_x,lat_y,lon_y,count
183,43 ST,47 ST,32.7550658,-117.101892,32.7083421,-117.0949474,7136
184,43 ST,ALDINE  DR,32.7550658,-117.101892,32.7635355,-117.0978908,20186
185,43 ST,ALDINE DR,32.7550658,-117.101892,32.7635355,-117.0978908,70856
186,43 ST,ALLEY W/O 43 ST,32.7550658,-117.101892,32.7457831,-117.1045088,49546
187,43 ST,FAIRMOUNT  AV,32.7550658,-117.101892,32.7807245,-117.1014434,67252
188,43 ST,FAIRMOUNT AV,32.7550658,-117.101892,32.7807245,-117.1014434,416402
189,43 ST,SD 805 ST,32.7550658,-117.101892,,,430
190,43 ST,VAN DYKE AV,32.7550658,-117.101892,32.7637165,-117.1023644,27840
191,43 ST,W/O 43 ST,32.7550658,-117.101892,32.7550658,-117.101892,1080
192,43RD ST,VAN DYKE  AV,32.7550658,-117.101892,32.7637165,-117.1023644,5116
193,44 ST,ELIZABETH ST,32.755704,-117.1002254,32.698677,-117.099129,7255
194,44 ST,FAIRMOUNT  AV,32.755704,-117.1002254,32.7807245,-117.1014434,26030
195,44 ST,FAIRMOUNT AV,32.755704,-117.1002254,32.7807245,-117.1014434,87527
196,44 ST,HIGHLAND AV,32.755704,-117.1002254,32.7440045,-117.0988089,22030
197,44 ST,LAUREL ST,32.755704,-117.1002254,32.7313776,-117.1624116,92720
198,44TH  ST,FAIRMOUNT  AV,32.755704,-117.1002254,32.7807245,-117.1014434,20525
199,45 ST,46 ST,32.7591397,-117.0978007,32.7530387,-117.0954746,27404
200,45 ST,CHAMOUNE AV,32.7591397,-117.0978007,32.7558267,-117.0969131,7315
201,45 ST,COTTON ST,32.7591397,-117.0978007,32.71671,-117.0946705,96916
202,46 ST,47 ST,32.7530387,-117.0954746,32.7083421,-117.0949474,16463
203,46 ST,FAIRMOUNT AV,32.7530387,-117.0954746,32.7807245,-117.1014434,17697
204,46 ST,MENLO AV,32.7530387,-117.0954746,32.7479713,-117.0944622,244589
205,47 ST,46 ST,32.7083421,-117.0949474,32.7530387,-117.0954746,9780
206,47 ST,COTTON ST,32.7083421,-117.0949474,32.71671,-117.0946705,28103
207,47 ST,ESCUELA ST,32.7083421,-117.0949474,32.705051,-117.092812,115210
208,47 ST,SD 805 NB EXIT ST,32.7083421,-117.0949474,,,117797
209,47 ST,SD 805 ST,32.7083421,-117.0949474,,,10332
210,47 ST,UVAS ST,32.7083421,-117.0949474,32.70992,-117.0919686,20823
211,47TH ST,S EUCLID AV,32.7083421,-117.0949474,32.6964415,-117.085114,11800
212,48 ST,ESTRELLA AV,32.7559135,-117.0911278,32.7494107,-117.0899733,37433
213,49 ST,EUCLID AV,32.7223523,-117.0897808,32.7096389,-117.086031,61520
214,49 ST,M LOU  ST,32.7223523,-117.0897808,32.6877777,-117.0729989,8886
215,49 ST,MARY LOU ST,32.7223523,-117.0897808,32.7215718,-117.0886592,39089
