,Unnamed: 0,start_loc,end_loc,lat_x,lon_x,lat_y,lon_y,count
1553,1553,E MISSION BAY DR,FIESTA ISLAND RD,32.767304,-117.2089706,32.7740639,-117.2166065,7818
1556,1556,E MTN VW DR,39 ST,32.767304,-117.2089706,32.7571463,-117.1103992,17825
1557,1557,E PARK AV,PEPPER SB DR,32.767304,-117.2089706,32.5546165,-117.0435411,68885
1558,1558,E ST,BROADWAY ST,32.767304,-117.2089706,32.5546165,-117.0435411,329106
1559,1559,E ST,F ST,32.767304,-117.2089706,32.7135823,-117.1648256,6119
1560,1560,E. MISSION BAY DR,FIESTA ISLAND RD  (LOOP) ,32.767304,-117.2089706,32.7135823,-117.1648256,4255
1561,1561,E/O LANING RD,OVERPASS RD,32.767304,-117.2089706,32.8261337,-117.1315822,19969
1564,1564,EAGLE ST,DOVE ST,32.7483312,-117.1695604,32.747375,-117.16861,206984
1565,1565,EARHART ST,GRAMERCY DR,32.8005928,-117.1361077,32.8028374,-117.1387469,8065
1566,1566,EAST DR,KEMPER ST,32.8005928,-117.1361077,32.757591,-117.041901,39024
1567,1567,EASTBOURNE RD,CARMEL RIDGE RD,32.9823267,-117.0712346,32.9779607,-117.0721956,22258
1568,1568,EASTGATE  ML,CARROLL  RD,32.8814355,-117.1990651,32.8828066,-117.1567097,48411
1569,1569,EASTGATE CT,AUTOPART ML,32.8809546,-117.1885532,32.8828066,-117.1567097,15017
1570,1570,EASTGATE CT,AUTOPORT ML,32.8809546,-117.1885532,32.8779555,-117.1847272,75310
1571,1571,EASTGATE MALL AV,GENESEE AV,32.8809546,-117.1885532,32.7914365,-117.1597319,8958
1572,1572,EASTGATE ML,GENESEE AV,32.8814355,-117.1990651,32.7914365,-117.1597319,19859
1573,1573,EASTGATE ML,TOWNE CTRE CT,32.8814355,-117.1990651,32.7914365,-117.1597319,14075
1574,1574,EASTGLEN ST,TIMBERLAKE DR,32.91449,-117.077133,32.914024,-117.083504,6786
1575,1575,EBERS ST,SUNSET CLIFFS BL,32.7462015,-117.24369,32.914024,-117.083504,36376
1576,1576,EDMONTON AV,AGEE ST,32.8586033,-117.202052,32.851559,-117.201233,73984
1577,1577,EL CAJON  BL,MEADE  AV,32.8586033,-117.202052,32.757225,-117.143784,18839
1606,1606,EL CAMINO DEL TEATRO DR,EL PASO REAL ST,32.829182,-117.258621,32.8308969,-117.2593692,571
1607,1607,EL CAMINO REAL ,CARMEL COUNTRY RD,32.829182,-117.258621,32.9448204,-117.2157208,4207
1610,1610,EL CAMINO REAL ,OLD EL CAMINO REAL ,32.829182,-117.258621,32.9694667,-117.2315618,30286
1613,1613,EL CAMINO REAL E ,POLO POINT ,32.829182,-117.258621,32.9829058,-117.222638,13525
1615,1615,EL CAMINO REAL PT,SIGNATURE PT,32.829182,-117.258621,32.954917,-117.2319847,153063
1616,1616,EL CAMINO REAL RD,CARMEL COUNTRY RD,33.2844529,-117.4361189,32.9448204,-117.2157208,6156
1617,1617,EL CAMINO REAL RD,CARMEL VISTA RD,33.2844529,-117.4361189,32.939495,-117.238327,41799
1618,1618,EL CAMINO REAL RD,DEL MAR HEIGHTS RD,33.2844529,-117.4361189,32.9485786,-117.2593425,49231
1623,1623,EL CAMINO REAL W PL,DE LA VALLE PL,33.2844529,-117.4361189,32.9842624,-117.2298052,32011
1624,1624,EL CAMINO REAL WY,JADESTONE WY,33.2844529,-117.4361189,32.9624626,-117.2324302,8339
1625,1625,EL CARMEL PL,SANTA CLARA PL,32.778376,-117.25126,32.7827573,-117.2510501,35474
1626,1626,EL PRADO DR,QUINCE DR,32.778376,-117.25126,32.7491277,-117.1595212,4555
1627,1627,EL PSO GRANDE RD,N T PINES RD,32.778376,-117.25126,32.8810801,-117.2439785,8865
1628,1628,ELDRIDGE ST,GALEWOOD ST,32.790791,-117.077988,32.7945791,-117.0686174,61920
1629,1629,ELIZABETH  ST,45 ST,32.790791,-117.077988,32.7945791,-117.0686174,10139
1630,1630,ELIZABETH ST,45 ST,32.790791,-117.077988,32.7591397,-117.0978007,28830
1636,1636,ELM ST,FIR ST,32.724141,-117.0871686,32.7255126,-117.0870027,20989
1637,1637,ELM ST,ROBINSON AV,32.724141,-117.0871686,32.746422,-117.1487465,17623
1638,1638,ELVADO   WY,MADRONE  AV,32.705914,-117.048286,32.709094,-117.0597236,3383
1639,1639,ELVADO WY,MADRONE  AV,32.705914,-117.048286,32.709094,-117.0597236,3258
1640,1640,ELVADO WY,MADRONE AV,32.705914,-117.048286,32.709094,-117.0597236,6672
1641,1641,ELY CR,BENSON AV,32.705914,-117.048286,32.705166,-117.059891,3177
1642,1642,EMDEN RD,CARMEL VY RD,32.9824938,-117.1310359,32.9517747,-117.1943397,23804
1643,1643,EMDEN RD,MALER RD,32.9824938,-117.1310359,32.980263,-117.131401,23014
1644,1644,EMERALD ST,DIAMOND ST,32.804085,-117.230438,32.980263,-117.131401,151086
1645,1645,EMERSON  ST,FENELON  ST,32.724954,-117.2303534,32.7279453,-117.2337664,56077
1646,1646,EMERSON ST,FENELON ST,32.724954,-117.2303534,32.7279453,-117.2337664,167762
1647,1647,EMORY ST,WASHINGTON ST,32.7412514,-117.1823523,32.7279453,-117.2337664,66004
1648,1648,ENCENDIDO RD,MONTIEN RD,32.7412514,-117.1823523,32.7279453,-117.2337664,17129
1649,1649,ENCINO AV,CONVERSE AV,32.7872293,-117.1440377,32.7888097,-117.1456261,67171
1650,1650,ENGINEER RD,VICKERS ST,32.8247909,-117.1488798,32.827267,-117.148842,45148
1651,1651,ENTERPRISE  ST,ROSECRANS  ST,33.1363409,-117.157332,32.7547067,-117.2018158,14954
1652,1652,ENTERPRISE ST,ROSECRANS ST,33.1363409,-117.157332,32.7547067,-117.2018158,168570
1653,1653,ESCALA DR,SD 015  DR,33.045738,-117.063042,32.7547067,-117.2018158,6445
1659,1659,ESTRELLA AV,FENIMORE WY,32.7494107,-117.0899733,32.783096,-117.089157,1825
1660,1660,ESTUDILLO ST,WITHERBY ST,32.7430299,-117.1882976,32.7451652,-117.1929629,4634
1661,1661,EUCLID  AV,54 ST,32.7430299,-117.1882976,32.7347417,-117.0796148,22209
1662,1662,EUCLID  AV,GWEN ST,32.7430299,-117.1882976,32.697273,-117.081383,5104
1663,1663,EUCLID  AV,SN JACINTO  DR,32.7430299,-117.1882976,32.697273,-117.081383,4006
1664,1664,EUCLID AV,  1200' E of 54 ST,32.7430299,-117.1882976,32.7347417,-117.0796148,7422
1665,1665,EUCLID AV,1200' east of 54 ST,32.7430299,-117.1882976,32.7347417,-117.0796148,7505
