,index,lat,lng
375,CAMINO REINA ,32.7677176,-117.1552374
376,CAMINO REINA DR,32.7677176,-117.1552374
377,CAMINO REINA RD,32.7677176,-117.1552374
378,CAMINO RIO ,32.8866727,-116.9226124
379,CAMINO RIO N ,32.8866727,-116.9226124
380,CAMINO RIO N DR,32.7668992,-117.1532824
381,CAMINO RIO S ,32.8866727,-116.9226124
382,CAMINO RIO S AV,32.7643112,-117.1542034
383,CAMINO RIO W ST,32.7545421,-117.2048878
384,CAMINO RUIZ  DR,32.9246573,-117.144102
385,CAMINO RUIZ DR,32.9246573,-117.14410200000002
386,CAMINO RUIZ RD,33.0044606,-117.169729
387,CAMINO RUIZ RD (E),33.0044606,-117.169729
388,CAMINO SANTA FE ,32.879043,-117.1726352
389,CAMINO SUR RD,33.009212,-117.1452309
390,CAMINO TICINO ST,32.862041,-117.215477
391,CAMPANILE DR,32.7712116,-117.0718574
392,CAMPUS AV,32.757206,-117.148773
393,CAMPUS POINT DR,32.8803723,-117.2235722
394,CANDIDA  ST,32.8976723,-117.1205712
395,CANDIDA ST,32.8976723,-117.1205712
396,CANERIDGE RD,32.935223,-117.072403
397,CANIS LN,32.921345,-117.134727
398,CANON  ST,32.7221187,-117.2328921
399,CANON ST,32.7221187,-117.2328921
400,CANTAMAR RD,32.581398,-117.090759
401,CANYON CREST DR,32.7789382,-117.0732876
402,CAPRICORN WY,32.9250435,-117.142731
403,CAR  ST,32.717712,-117.027344
404,CARBET PL,32.8214467,-117.096739
405,CARDIFF ST,32.715221,-117.025192
406,CARDIN ST,32.715221,-117.025192
407,CARDINAL DR,32.785831,-117.157379
408,CARDINAL RD,32.7905643,-117.1575206
409,CARGILL AV,32.8650125,-117.2164836
410,CARIOCA CT,32.83223,-117.107353
411,CARLA WY,32.809597,-117.2633803
412,CARMEL BROOKS WY,32.9422646,-117.2287025
413,CARMEL CANYON  RD,32.9452079,-117.2170673
414,CARMEL CANYON RD,32.9452079,-117.2170673
415,CARMEL CENTER  RD,32.9478994,-117.2213189
416,CARMEL COUNTR  RD,32.9478994,-117.2213189
417,CARMEL COUNTRY RD,32.9448204,-117.2157208
418,CARMEL CREEK RD,32.9368478,-117.228744
419,CARMEL CRK  RD,32.9368478,-117.228744
420,CARMEL CRK DR,32.9368478,-117.228744
421,CARMEL CRK RD,32.9368478,-117.228744
422,CARMEL GROVE RD,32.942156,-117.2297824
423,CARMEL KNOLLS DR,32.950546,-117.204674
424,CARMEL MISSION RD,32.9470767,-117.2212214
425,CARMEL MOUNTAIN RD,32.9632195,-117.132299
426,CARMEL MTN RD,32.9632195,-117.132299
427,CARMEL VALLEY RD,32.9517747,-117.1943397
428,CARMEL VY  RD,32.9517747,-117.1943397
429,CARMEL VY RD,32.9517747,-117.1943397
430,CARNOUSTIE RD,32.565638,-116.9400644
431,CAROL ST,32.5863954,-117.0942789
432,CARRANZA DR,33.032448,-117.092773
433,CARROLL  RD,32.8828066,-117.15670970000001
434,CARROLL CANYON RD,32.8882029,-117.2045649
435,CARROLL RD,32.8828066,-117.1567097
436,CARROLL WY,32.8870409,-117.1589487
437,CASEY GLEN RD,33.0214141,-117.1418086
438,CASS ST,32.796444,-117.251549
439,CASTANA ST,32.70663,-117.0831841
440,CASTELAR ST,32.7496183,-117.2362689
441,CATARINA LN,32.9470399,-117.0904778
442,CAULFIELD DR,32.578882,-117.074662
443,CAVE ST,32.8479388,-117.2713048
444,CEDAR  ST,32.7219733,-117.1603253
445,CEDAR ST,32.7219733,-117.1603253
446,CEDAR ST ST,32.7219733,-117.1603253
447,CEDARBRAE LN,32.710403,-117.246948
448,CELIA VISTA DR,32.7502301,-117.055551
449,CENTAURUS WY,32.9257253,-117.1318572
450,CENTER ST,32.5519622,-117.0396864
451,CENTRAL  AV,32.5519622,-117.0396864
452,CENTRAL AV,32.5519622,-117.0396864
453,CENTRAL PLAZA RD,32.8256102,-117.1384856
454,CENTRALOMA DR,32.7381932,-117.2301666
455,CENTRE  ST,32.7381932,-117.2301666
456,CENTRE ST,32.7381932,-117.2301666
457,CENTURION SQ,32.8617024,-117.2086931
458,CENTURY PARK CT,32.8234308,-117.1441372
459,CEREZA ST,32.705059,-117.092537
460,CERVANTES AV,32.6978572,-117.0700941
461,CHANTILLY AV,32.7914939,-117.1447663
462,CHATEAU DR,33.058342,-116.573013
463,CHATSWORTH  BL,33.058342,-116.573013
464,CHATSWORTH BL,33.058342,-116.573013
465,CHEROKEE (S) AV,33.058342,-116.573013
466,CHEROKEE AV,32.760948,-117.114098
467,CHERRY HILL DR,32.9297123,-117.2065344
468,CHESAPEAKE DR,32.837879,-117.129646
469,CHICAGO ST,32.796833,-117.20443
470,CHILDRENS WY,32.796833,-117.20443
471,CHOCTAW DR,32.7647678,-117.0620107
472,CHOLLAS  PK,32.7377949,-117.0676095852324
473,CHOLLAS  PY,32.7377949,-117.0676095852324
474,CHOLLAS PARK EN,32.7377949,-117.0676095852324
475,CHOLLAS PK EN ,32.7377949,-117.0676095852324
476,CHOLLAS PY,32.7377949,-117.0676095852324
477,CHURCHWARD ST,32.7040318,-117.0785349
478,CHURCHWOOD ST,32.7040318,-117.0785349
479,CHURRITUCK DR,32.581635,-117.058113
480,CIRCLE DR,33.1580218,-117.1398751
481,CLAIREMONT DR,32.8038,-117.19911659999998
482,CLARA LEE AV,32.792931,-117.088966
483,CLAY AV,32.785267,-117.015099
484,CLAY ST,32.785267,-117.015099
485,CLEARWOOD CT,32.922729,-117.077026
486,CLEVELAND AV,32.87936035,-117.0958639
487,CLOVE ST,32.7401158,-117.2234913
488,CLOVERDALE (FG) RD,32.7401158,-117.2234913
489,CLOVERDALE RD,33.1133043,-117.0177111
490,COCONINO WY,32.832874,-117.20533
491,COL GROVE  DR,32.7374122,-117.0590354
492,COL GROVE DR,32.7374122,-117.0590354
493,COL GROVE WY,32.7374122,-117.0590354
494,COL GROVE WY WY,32.7381582,-117.0582059
495,COLE ST,32.83942,-117.201401
496,COLIMA CT,32.8107338,-117.2685376
497,COLIMA ST,32.811871,-117.263329
498,COLLEGE  AV,32.811871,-117.263329
499,COLLEGE AV,32.788783466666665,-117.13295826666666
500,COLLEGE AVE,32.7772397,-117.0677729
501,COLLEGE GROVE AV,32.7381582,-117.0582059
502,COLLEGE GROVE DR,32.7374122,-117.0590354
503,COLLEGE GROVE WY,32.7381582,-117.0582059
504,COLLEGE PL,32.7699433,-117.0700117
505,COLLIER AV,32.7650574,-117.0866472
506,COLLURA ST,32.7650574,-117.0866472
507,COLLWOOD BL,32.7650574,-117.0866472
508,COLLWOOD WY,32.7683404,-117.08583
509,COLUMBIA ST,32.73456673333333,-117.14019739999999
510,COMMERCE  AV,32.880119,-117.1679039
511,COMMERCE AV,32.880119,-117.1679039
512,COMMERCIAL ST,32.75522207142857,-117.14821597142858
513,COMPLEX DR,32.929749,-117.123444
514,COMSTOCK ST,32.7873372,-117.1745691
515,CONESTOGA WY,32.804806,-117.076378
516,CONFERENCE WY,32.985699,-117.077087
517,CONGRESS ST,32.985699,-117.077087
518,CONIFER AV,32.585655,-117.084593
519,CONRAD AV,32.8361384,-117.1885526
520,CONSOLIDATED WY,32.8779981,-117.1661402
521,CONTOUR BL,32.8779981,-117.1661402
522,CONVENTION WY,32.8779981,-117.1661402
523,CONVOY CT,32.8347146,-117.15820479999998
524,CONVOY ST,32.835655,-117.152397
525,COPLEY AV,32.835655,-117.152397
526,COPLEY DR,32.8395081,-117.162376
527,COPLEY PARK PL,32.8359559,-117.1561788
528,COPLEY PK PL,32.8359559,-117.1561788
529,CORAZON PL,33.037018,-117.082222
530,CORD LN,32.912785,-117.131264
531,CORNERSTONE CT,32.8196477,-116.9147574
532,CORONADO  AV,32.5764872,-117.0857686
533,CORONADO (SB)  AV,32.5764872,-117.0857686
534,CORONADO (SB) AV,32.5764872,-117.0857686
535,CORONADO AV,32.5764872,-117.08576860000001
536,CORPORATE CTR DR,32.5714804,-117.0053708
537,CORTE RAPOSO ,32.5714804,-117.0053708
538,COSMO ST,32.818943,-117.165833
539,COSOY WY,32.7554347,-117.1934433
540,COSTA VERDE BL,32.8667433,-117.2165801
541,COTTONTAIL LN,32.821655,-117.260468
542,COTTONWOOD RD,32.821655,-117.260468
543,COVINA ST,32.904092,-117.132238
544,COWLES MTN BL,32.904092,-117.132238
545,COWLES MTN C,32.904092,-117.132238
546,COWLES MTN CT,32.904092,-117.132238
547,COWLES MTN PL,32.904092,-117.132238
548,COWLESS MTN BL,32.904092,-117.132238
549,COWLEY WY,32.8523354,-117.16305059999999
550,CRAWFORD ST,32.8005788,-117.1938632
551,CREEKBRIDGE PL,32.9460013,-117.0944833
552,CREEKVIEW DR,32.9442556,-117.0912578
553,CRISTALLO PL,32.955175,-117.222067
554,CROWN POINT DR,32.784885,-117.234016
555,CROWNHILL RD,32.811905,-117.232742
556,CRYSTAL DAWN LN,32.8687533,-117.219565
557,CRYSTAL DR,32.807356,-117.2621633
558,CUMBERLAND   ST,32.807356,-117.2621633
559,CUMBERLAND ST,32.807356,-117.2621633
560,CURLEW ST,32.738674,-117.167633
561,CUSTOMHOUSE PZ,32.738674,-117.167633
562,CYPRESS POINT RD,32.791134,-117.056778
563,CYPRESS TERRACE PL,32.9269015,-117.0656948
564,D M HILLS  DR,32.9269015,-117.0656948
565,D M HTS  RD,32.9485786,-117.2593425
566,D M HTS RD,32.9485786,-117.2593425
567,DABNEY  DR,32.9081631,-117.1582057
568,DABNEY DR,32.9081631,-117.1582057
569,DAGGET ST,32.8235931,-117.1546254
570,DAHLIA  ST,32.7369193,-117.103628
571,DAHLIA AV,32.582912,-117.096992
572,DAHLIA ST,32.7369193,-117.103628
573,DAIRY MART AV,32.7369193,-117.103628
574,DAIRY MART RD,32.5561947,-117.06245940000001
575,DAISY WY,32.693432,-117.064339
576,DAKOTA CT,32.693432,-117.064339
577,DAKOTA DR,32.747948,-117.131756
578,DALBERGIA ST,32.6866327,-117.1150072
579,DAMON AV,32.8072849,-117.2191154
580,DATSUN ST,32.5719101,-116.9976057
581,DATSUN ST ST,32.5719101,-116.9976057
582,DAWES  ST,32.8038345,-117.2518654
583,DAWES ST,32.8038345,-117.2518654
584,DE ANZA RD,32.7981685,-117.2158279
585,DE SOTO ST,32.807301,-117.217667
586,DEAUVILLE ST,32.67347,-117.065399
587,DECORO ST,32.8641391,-117.2142307
